D000006,C23.888.592.612.054.200
D000006,C23.888.821.030.249
D000007,C26.017
D000008,C04.588.033
D000012,C16.320.565.398.500.440.500
D000012,C18.452.584.500.875.440.500
D000012,C18.452.584.563.500.440.500
D000012,C18.452.648.398.500.440.500
D000013,C16.131
D000014,C16.131.042
D000015,C16.131.077
D000016,C16.131.080
D000016,C26.733.031
D000022,C12.050.703.039
D000026,C12.050.703.039.089
D000027,C12.050.703.039.093
D000030,C12.050.703.039.173
D000031,C01.674.173
D000031,C12.050.703.039.256
D000031,C12.050.703.700.173
D000033,C12.050.703.090
D000034,C12.050.703.039.422
D000034,C22.021
D000037,C12.050.703.420.078
D000037,C12.050.703.590.132
D000038,C01.830.025
D000038,C23.550.470.756.100
D000039,C01.748.561.750.500
D000039,C01.830.025.675
D000039,C07.550.781.750.500
D000039,C08.730.561.750.500
D000039,C09.775.649.750.500
D000051,C17.800.865.070
D000051,C23.550.035
D000052,C17.800.621.430.530.100
D000067011,C18.654.521.719
D000067208,C20.543.480.370.763
D000067251,C23.550.291.937.500
D000067329,C18.654.726.750.500.650
D000067329,C23.888.144.699.500.250
D000067390,C26.212
D000067398,C26.946
D000067562,C23.550.291.883
D000068376,C23.888.369.500.500
D000069076,C26.404.280
D000069076,C26.640.500
D000069279,C10.228.140.490.125
D000069281,C10.228.140.617.738.275.500
D000069281,C19.700.419.500
D000069281,C20.111.273
D000069282,C11.496.221.500
D000069290,C23.300.707.945
D000069290,C23.550.767.500
D000069293,C04.557.386.480.150.585.500
D000069293,C15.604.515.569.480.150.585.500
D000069293,C20.683.515.761.480.150.585.500
D000069295,C04.557.470.200.588
D000069316,C17.800.030.150.500
D000069316,C17.800.794.111.500
D000069337,C12.050.351.875.420
D000069337,C12.200.706.445
D000069337,C12.800.445
D000069337,C16.131.939.445
D000069451,C23.550.543
D000069544,C01.207.399
D000069544,C10.228.140.430.520
D000069544,C10.228.228.399
D000069544,C10.586.250.520
D000069578,C01.936
D000069584,C04.588.180.800
D000069584,C17.800.090.500.682
D000069836,C26.808.500
D000069856,C12.050.351.968.419.600.500.500
D000069856,C12.050.351.968.967.249.500.500
D000069856,C12.050.351.968.967.500.503.500
D000069856,C12.200.777.419.600.500.500
D000069856,C12.200.777.967.249.500.500
D000069856,C12.200.777.967.500.503.500
